mode,spine,seeds,recipient,recipient_label,recipient_kind,depth,path,last_relation
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_lo_eterno_media_collective,Lo Eterno Media Collective,project,2,arc_of_justice -> afgj -> p_lo_eterno_media_collective,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_los_angeles_community_action_network,Los Angeles Community Action Network,project,2,arc_of_justice -> afgj -> p_los_angeles_community_action_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_lupinewood,Lupinewood,project,2,arc_of_justice -> afgj -> p_lupinewood,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_march_4_racial_justice,March 4 Racial Justice,project,2,arc_of_justice -> afgj -> p_march_4_racial_justice,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,2,arc_of_justice -> afgj -> p_march_4_racial_justice_ny,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,2,arc_of_justice -> afgj -> p_miracle_for_mikeals_legacy_foundation,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,2,arc_of_justice -> afgj -> p_mosaic_black_trans_funding_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_movement_net_lab,Movement Net Lab,project,2,arc_of_justice -> afgj -> p_movement_net_lab,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_nappy_roots_books,Nappy Roots Books,project,2,arc_of_justice -> afgj -> p_nappy_roots_books,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,2,arc_of_justice -> afgj -> p_national_association_of_human_rights_d,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,2,arc_of_justice -> afgj -> p_national_immigrant_solidarity_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,2,arc_of_justice -> afgj -> p_national_network_opposing_the_militari,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_never_again_action,Never Again Action,project,2,arc_of_justice -> afgj -> p_never_again_action,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,project,2,arc_of_justice -> afgj -> p_nicaragua_solidarity_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_o_odham_anti_border_collective,O’odham Anti Border Collective,project,2,arc_of_justice -> afgj -> p_o_odham_anti_border_collective,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_orinoco_tribune,Orinoco Tribune,project,2,arc_of_justice -> afgj -> p_orinoco_tribune,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_otros_mundos_a_c,Otros Mundos A.C.,project,2,arc_of_justice -> afgj -> p_otros_mundos_a_c,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_peace_education,Peace Education,project,2,arc_of_justice -> afgj -> p_peace_education,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_people_helping_people,People Helping People,project,2,arc_of_justice -> afgj -> p_people_helping_people,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_philly_thrive,Philly Thrive,project,2,arc_of_justice -> afgj -> p_philly_thrive,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,2,arc_of_justice -> afgj -> p_poor_people_s_economic_human_rights_ca,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_popular_resistance,Popular Resistance,project,2,arc_of_justice -> afgj -> p_popular_resistance,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_pueblo_sin_fronteras,Pueblo Sin Fronteras,project,2,arc_of_justice -> afgj -> p_pueblo_sin_fronteras,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_queer_food_foundation,Queer Food Foundation,project,2,arc_of_justice -> afgj -> p_queer_food_foundation,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_radical_bloggers_fund,Radical Bloggers Fund,project,2,arc_of_justice -> afgj -> p_radical_bloggers_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_real_food_generation,Real Food Generation,project,2,arc_of_justice -> afgj -> p_real_food_generation,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_real_name_campaign_nola,Real Name Campaign NOLA,project,2,arc_of_justice -> afgj -> p_real_name_campaign_nola,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_reale_justice_network,Reale Justice Network,project,2,arc_of_justice -> afgj -> p_reale_justice_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_reconnect_earth,Reconnect Earth,project,2,arc_of_justice -> afgj -> p_reconnect_earth,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_red_de_solidaridad,Red de Solidaridad,project,2,arc_of_justice -> afgj -> p_red_de_solidaridad,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_refuse_fascism,Refuse Fascism,project,2,arc_of_justice -> afgj -> p_refuse_fascism,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_return_solidarity,Return Solidarity,project,2,arc_of_justice -> afgj -> p_return_solidarity,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),project,2,arc_of_justice -> afgj -> p_reuniting_of_african_descendants_road,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_solidarity_ignite,Solidarity Ignite,project,2,arc_of_justice -> afgj -> p_solidarity_ignite,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_south_bronx_unite,South Bronx Unite,project,2,arc_of_justice -> afgj -> p_south_bronx_unite,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_splitseed_productions,SplitSeed Productions,project,2,arc_of_justice -> afgj -> p_splitseed_productions,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_stop_mass_incarceration_network,Stop Mass Incarceration Network,project,2,arc_of_justice -> afgj -> p_stop_mass_incarceration_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,project,2,arc_of_justice -> afgj -> p_suriname_indigenous_health_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_sustainable_nations,Sustainable Nations,project,2,arc_of_justice -> afgj -> p_sustainable_nations,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,2,arc_of_justice -> afgj -> p_sustainable_orphanages_for_haitian_you,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_ta_ayush,Ta’ayush,project,2,arc_of_justice -> afgj -> p_ta_ayush,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_taking_black_pride,Taking Black Pride,project,2,arc_of_justice -> afgj -> p_taking_black_pride,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_the_l_i_c_project,The L.I.C. Project,project,2,arc_of_justice -> afgj -> p_the_l_i_c_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_thompson_house_tucson,Thompson House Tucson,project,2,arc_of_justice -> afgj -> p_thompson_house_tucson,fiscal_sponsor
