id,label,kind,edges,confirmed,inferred,confirmed_share
rub_canadian_network_on_cuba,Canadian Network on Cuba,org,2,0,2,0%
rub_communist_party_usa,Communist Party USA,org,2,1,1,50%
rub_faln,FALN,org,2,0,2,0%
rub_the_jericho_movement,The Jericho Movement,org,2,0,2,0%
rub_m_19,M-19,org,2,0,2,0%
rub_macheteros,Macheteros,org,2,0,2,0%
rub_p_fernando_gonz_lez_llor,Fernando González Llort,person,2,2,0,100%
rub_p_george_galloway,George Galloway,person,2,0,2,0%
rub_p_gustavo_petro,Gustavo Petro,person,2,0,2,0%
rub_association_for_investment,Association for Investment in Popular Action Committees,org,2,0,2,0%
rub_naacp,NAACP,org,2,0,2,0%
rub_student_nonviolent_coordin,Student Nonviolent Coordinating Committee,org,2,0,2,0%
scharenberg,Albert Scharenberg,person,2,1,1,50%
souers,Wyatt Souers,person,2,1,1,50%
stein,Abby Stein (JVP Rabbinical Council),person,2,2,0,100%
svart,Maria Svart,person,2,1,1,50%
taylor,Nancy Taylor,person,2,1,1,50%
uts,Union Theological Seminary,org,2,1,1,50%
valente,Mónica Valente,person,2,2,0,100%
wider,Phil Wider,person,2,1,1,50%
yee,Amanda Yee,person,2,1,1,50%
lowengard,Elizabeth Lowengard,person,2,0,2,0%
rub_p_leonard_boudin,Leonard Boudin,person,2,0,2,0%
abbott,Diane Abbott,person,1,1,0,100%
uk_labour,UK Labour Party,org,1,1,0,100%
p_411_collective,411 Collective,project,1,1,0,100%
p_action_bail_fund,Action Bail Fund,project,1,1,0,100%
p_african_awareness_association,African Awareness Association,project,1,1,0,100%
p_amigos_de_la_playa,Amigos de la Playa,project,1,1,0,100%
p_asotrecol,ASOTRECOL,project,1,1,0,100%
p_az_jobs_with_justice,AZ Jobs with Justice,project,1,1,0,100%
p_beef_relief,Beef Relief,project,1,1,0,100%
p_black_lives_matter_tucson,Black Lives Matter Tucson,project,1,1,0,100%
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,1,1,0,100%
p_bv_solidarity_project,BV Solidarity Project,project,1,1,0,100%
p_camino_com_n,Camino Común,project,1,1,0,100%
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,1,1,0,100%
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,1,1,0,100%
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,1,1,0,100%
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,1,1,0,100%
p_clean_up_the_mines,Clean up the Mines,project,1,1,0,100%
p_community_action_relief_project,Community Action Relief Project,project,1,1,0,100%
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,1,1,0,100%
p_denver_justice_project,Denver Justice Project,project,1,1,0,100%
p_erie_bail_fund,Erie Bail Fund,project,1,1,0,100%
p_eritye_papa_desalin,Eritye Papa Desalin,project,1,1,0,100%
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,1,1,0,100%
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,1,1,0,100%
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,1,1,0,100%
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,1,1,0,100%
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,1,1,0,100%
p_human_rights_school,Human Rights School,project,1,1,0,100%
p_initiative_for_equality,Initiative for Equality,project,1,1,0,100%
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,1,1,0,100%
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,1,1,0,100%
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,1,1,0,100%
p_juthour_arboretum,Juthour Arboretum,project,1,1,0,100%
p_la_colectiva,La ColectiVA,project,1,1,0,100%
p_lancaster_bail_fund,Lancaster Bail Fund,project,1,1,0,100%
p_legal_defense_for_palestine,Legal Defense for Palestine,project,1,1,0,100%
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,1,1,0,100%
p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,1,1,0,100%
p_lo_eterno_media_collective,Lo Eterno Media Collective,project,1,1,0,100%
p_lupinewood,Lupinewood,project,1,1,0,100%
p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,1,1,0,100%
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,1,1,0,100%
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,1,1,0,100%
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,1,1,0,100%
p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,project,1,1,0,100%
p_o_odham_anti_border_collective,O’odham Anti Border Collective,project,1,1,0,100%
p_otros_mundos_a_c,Otros Mundos A.C.,project,1,1,0,100%
p_peace_education,Peace Education,project,1,1,0,100%
p_philly_thrive,Philly Thrive,project,1,1,0,100%
p_pueblo_sin_fronteras,Pueblo Sin Fronteras,project,1,1,0,100%
p_radical_bloggers_fund,Radical Bloggers Fund,project,1,1,0,100%
p_real_name_campaign_nola,Real Name Campaign NOLA,project,1,1,0,100%
p_reale_justice_network,Reale Justice Network,project,1,1,0,100%
p_reconnect_earth,Reconnect Earth,project,1,1,0,100%
p_red_de_solidaridad,Red de Solidaridad,project,1,1,0,100%
p_return_solidarity,Return Solidarity,project,1,1,0,100%
p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),project,1,1,0,100%
p_solidarity_ignite,Solidarity Ignite,project,1,1,0,100%
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,project,1,1,0,100%
p_sustainable_nations,Sustainable Nations,project,1,1,0,100%
p_ta_ayush,Ta’ayush,project,1,1,0,100%
p_the_l_i_c_project,The L.I.C. Project,project,1,1,0,100%
p_ubuntu,UBUNTU,project,1,1,0,100%
p_unir,UNIR,project,1,1,0,100%
p_upland_grassroots,Upland Grassroots,project,1,1,0,100%
p_white_noise_collective,White Noise Collective,project,1,1,0,100%
p_woodbine_education_center,Woodbine Education Center,project,1,1,0,100%
cultureproject,Culture Project,org,1,1,0,100%
grassroots_intl,Grassroots International,org,1,1,0,100%
social_good_fund,Social Good Fund,org,1,1,0,100%
arlen_gomez,Arlen Benjamin-Gomez,person,1,1,0,100%
baker_carolyn,Carolyn Baker,person,1,1,0,100%
brecht_forum,Brecht Forum,org,1,1,0,100%
fars_news,Fars News Agency,org,1,1,0,100%
bournous,Yiannis Bournous,person,1,1,0,100%
brease,Emily Brease,person,1,0,1,0%
chanoine,Claudette Chanoine,person,1,1,0,100%
dagdelen,Sevim Dagdelen,person,1,1,0,100%
deborah_benjamin,Deborah Coyle Benjamin,person,1,1,0,100%
dwilliams,David Williams,person,1,1,0,100%
ehmsen,Stefanie Ehmsen,person,1,1,0,100%
enkelmann,Dagmar Enkelmann,person,1,1,0,100%
fernandes,Marco Fernandes,person,1,1,0,100%
fes,Friedrich Ebert Stiftung Inc (FES),org,1,1,0,100%
fns,Friedrich Naumann Foundation (FNS),org,1,1,0,100%
hbs,Heinrich Boell Foundation (HBS),org,1,1,0,100%
hss,Hanns Seidel Foundation USA (HSS),org,1,1,0,100%
