url,domain,edges,distinct_nodes,complete_clique,relations,nodes
https://cubasi.cu/en/news/prominent-us-activist-receives-icap-commemorative-seal,cubasi.cu,2,3,0,received 1; support 1,Cuba; ICAP; Gloria La Riva
https://en.wikipedia.org/wiki/Angela_Davis,en.wikipedia.org,2,3,0,member 2,Black Panther Party; Communist Party USA; Angela Davis
https://en.wikipedia.org/wiki/Brothers_to_the_Rescue,en.wikipedia.org,2,3,0,infiltrated 1; opposes 1,Cuba; Brothers to the Rescue; René González
https://en.wikipedia.org/wiki/Carl_Dix,en.wikipedia.org,2,3,0,initiated 1; collaborator 1,Stop Mass Incarcerati…; Carl Dix; Cornel West
https://en.wikipedia.org/wiki/Cuban_American_National_Foundation,en.wikipedia.org,2,2,0,opposes 1; advocated_isolation_of 1,Cuba; Cuban American Nation…
https://en.wikipedia.org/wiki/Democratic_Front_for_the_Liberation_of_Palestine,en.wikipedia.org,2,3,0,split 1; collaborator 1,Popular Front for the…; Democratic Front for …; Hamas
https://en.wikipedia.org/wiki/Fair_Play_for_Cuba_Committee,en.wikipedia.org,2,3,0,organized trips to 1; associate 1,Cuba; Fair Play for Cuba Co…; Robert F. Williams
https://en.wikipedia.org/wiki/Hezbollah,en.wikipedia.org,2,3,0,affiliation 2,Islamic Republic of I…; Islamic Revolutionary…; Hezbollah
https://en.wikipedia.org/wiki/International_Peoples%27_Assembly,en.wikipedia.org,2,3,0,hosted 2,Cuba; International Peoples…; Venezuela
https://en.wikipedia.org/wiki/Leonard_Boudin,en.wikipedia.org,2,3,0,member 1; relative 1,National Lawyers Guild; Kathy Boudin; Leonard Boudin
https://en.wikipedia.org/wiki/Liz_Theoharis,en.wikipedia.org,2,3,0,spouse 1; collaborator 1,William Willie Baptis…; Christopher Chris Car…; Rev. Dr. Elizabeth Ar…
https://en.wikipedia.org/wiki/Opal_Tometi,en.wikipedia.org,2,3,0,contacted 1; invited 1,Alicia Garza; Opal Tometi; Venezuela
https://en.wikipedia.org/wiki/Palestine_Liberation_Organization,en.wikipedia.org,2,3,0,member 2,Popular Front for the…; Democratic Front for …; Palestine Liberation …
https://en.wikipedia.org/wiki/Ramón_Labañino,en.wikipedia.org,2,3,0,infiltrated 2,Brothers to the Rescue; Antonio Guerrero; Ramón Labañino
https://en.wikipedia.org/wiki/Students_for_a_Democratic_Society,en.wikipedia.org,2,3,0,affiliation 1; secession 1,Students for a Democr…; Venceremos Brigade; Weather Underground
https://globalexchange.org/,globalexchange.org,2,3,0,travel 2,Cuba; Global Exchange; Islamic Republic of I…
https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/,newlinesmag.com,2,4,0,advocates 1; funds 1,China (PRC); CODEPINK; People's Support Foun…; United Community Fund
https://peoplesforum.org/venezuela-elections,peoplesforum.org,2,3,0,candidate 1; president 1,Hugo Chavez; Nicolás Maduro; Venezuela
https://projects.propublica.org/nonprofits/organizations/522094677,projects.propublica.org,2,3,0,director 2,Alliance for Global J…; Banbose Shango; Nathan Sheard
https://projects.propublica.org/nonprofits/organizations/811174658,projects.propublica.org,2,3,0,trustee 2,Claudia De la Cruz; General Baker Institu…; Marian Kramer
https://projects.propublica.org/nonprofits/organizations/824975378,projects.propublica.org,2,3,0,director 2,David Sung Mo Chung; Karina Garcia; Justice and Education…
https://taskforceamericas.org/staff/roger-harris/,taskforceamericas.org,2,3,0,interest 2,Cuba; Roger D. Harris; Venezuela
https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp,adl.org,2,3,0,co-organizer 1; justified 1,IfNotNow; Jewish Voice for Peac…; Hamas
https://www.codepink.org/pretrip,codepink.org,2,4,0,traveled_to 1; traveled_with 1,Ann Wright; Medea Benjamin; CODEPINK; Islamic Republic of I…
https://www.discoverthenetworks.org/individuals/richard-becker/,discoverthenetworks.org,2,3,0,supported 1; associate 1,ANSWER Coalition; Occupy Wall Street; Richard Becker
https://www.elisabethepps.com/meet-elisabeth,elisabethepps.com,2,3,0,member 2,Democratic Socialists…; Elisabeth Epps; Working Families Party
https://www.guidestar.org/profile/94-3382208,guidestar.org,2,2,0,treasurer 1; board_member 1,Elizabeth Lowengard; Progress Unity Fund
https://www.influencewatch.org/for-profit/the-black-trans-travel-fund/,influencewatch.org,2,4,0,grant 1; role 1,Black Trans Media; Black Trans Travel Fu…; Devin Michael Lowe; Black Lives Matter Gl…
https://www.influencewatch.org/non-profit/coalition-of-women-for-peace/,influencewatch.org,2,3,0,collaborator 1; did_not_condemn 1,Women in Black; Coalition of Women fo…; Hamas
https://www.influencewatch.org/non-profit/nicaragua-network/,influencewatch.org,2,3,0,member 1; co_director 1,ANSWER Coalition; Katherine Hoyt; Nicaragua Network
https://www.influencewatch.org/organization/international-peoples-assembly-ipa/,influencewatch.org,2,3,0,endorsed 1; co_signatory 1,International Peoples…; Nicolás Maduro; Progressive Internati…
