edge_idx,source,target,relation,confidence,slices,domain,url
625,rub_p_george_galloway,rub_viva_palestina_us,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/George_Galloway
626,rub_p_gerardo_hern_ndez,rub_the_wasp_network_red_avisp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Cuban_Five
627,rub_p_gustavo_petro,rub_m_19,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Gustavo_Petro
628,rub_p_kathy_boudin,rub_may_19th_communist_organiz,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Kathy_Boudin
629,rub_p_kathy_boudin,rub_weather_underground,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Kathy_Boudin
630,rub_p_nayef_hawatmeh,rub_democratic_front_for_the_l,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Nayef_Hawatmeh
631,rub_p_nayef_hawatmeh,pflp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Nayef_Hawatmeh
633,rub_p_onyesonwu_chatoyer,rub_national_network_on_cuba,role,confirmed,rubio-cuba,hoodcommunist.org,https://hoodcommunist.org/2025/07/28/cuba-beats-the-beast/
634,rub_p_onyesonwu_chatoyer,rub_venceremos_brigade,role,confirmed,rubio-cuba,hoodcommunist.org,https://hoodcommunist.org/2025/07/28/cuba-beats-the-beast/
635,rub_p_opal_tometi,bap,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Opal_Tometi
636,rub_p_opal_tometi,rub_black_lives_matter_global,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Opal_Tometi
637,rub_p_paul_larudee,rub_association_for_investment,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Paul_Larudee
638,rub_p_ram_n_laba_ino,rub_the_wasp_network_red_avisp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Ramón_Labañino
