id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
garcia,Karina Garcia,hatuey,486,-887,1149,-0.26,0.0,afgj-interlock
per_samantha_parsons,Samantha Parsons,afgj-interlock,-578,-243,692,-0.28,0.0,rubio-cuba
stein,Abby Stein (JVP Rabbinical Council),iran-network,-102,453,916,-0.31,0.0,afgj-interlock
bounds,Tajee Bounds,singham-spine,426,-270,625,-0.35,0.0,afgj-interlock
dpaul,David Paul,latam-solidarity,-9,-404,928,-0.36,0.0,afgj-interlock
grenyion,Kristen Grenyion,singham-spine,148,-408,616,-0.37,0.0,iran-network
liebich,Stefan Liebich,rls-germany,609,-306,887,-0.38,0.0,singham-spine
p_taking_black_pride,Taking Black Pride,afgj-interlock,-459,-363,659,-0.38,0.0,iran-network
p_werk_for_peace,WERK for Peace,afgj-interlock,528,-377,657,-0.38,0.0,singham-spine
delacruz,Claudia De la Cruz,hatuey,-518,499,1079,-0.4,0.0,afgj-interlock
richard_becker,Richard Becker,hatuey,-5,-679,1083,-0.4,0.0,afgj-interlock
p_real_name_campaign_nola,Real Name Campaign NOLA,afgj-projects,-250,564,742,-0.43,0.0,rubio-cuba
per_banbose_shango,Banbose Shango,afgj-interlock,-430,488,634,-0.45,0.0,rubio-cuba
balagun,Kazembe Balagun,rls-germany,524,-568,851,-0.46,0.0,rubio-cuba
rub_national_network_on_cuba,National Network on Cuba,rubio-cuba,171,-494,809,-0.46,0.0,singham-spine
p_legal_defense_for_palestine,Legal Defense for Palestine,afgj-projects,308,547,730,-0.47,0.0,rubio-cuba
rub_witness_for_peace_solidari,Witness for Peace Solidarity Collective,rubio-cuba,-236,773,783,-0.51,0.0,afgj-interlock
uts,Union Theological Seminary,singham-spine,-472,-99,558,-0.53,0.0,rubio-cuba
evans,Jodie Evans,iran-network,-259,-865,820,-0.53,0.0,afgj-projects
puf,Progress Unity Fund,singham-spine,-335,629,554,-0.54,0.0,rubio-cuba
p_clean_up_the_mines,Clean up the Mines,afgj-projects,228,-804,709,-0.55,0.0,afgj-interlock
p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),afgj-projects,410,-710,701,-0.58,0.0,afgj-interlock
ben_becker,Ben Becker,hatuey,-60,1056,993,-0.59,0.0,rubio-cuba
goodwin,Alicia Thilani Singham Goodwin,singham-spine,-349,-203,529,-0.61,0.0,rubio-cuba
rub_belly_of_the_beast_llc,Belly of the Beast LLC,rubio-cuba,-308,370,691,-0.65,0.0,afgj-interlock
wfdy,World Federation of Democratic Youth,latam-solidarity,-554,716,790,-0.71,0.0,singham-spine
danaher,Maya (Mandela) Danaher,iran-network,317,-1063,730,-0.73,0.0,afgj-projects
scharenberg,Albert Scharenberg,rls-germany,-993,-337,718,-0.74,0.0,afgj-interlock
singham,Neville Roy Singham,hatuey,207,-595,916,-0.75,0.0,afgj-interlock
rub_weather_underground,Weather Underground,rubio-cuba,61,-252,627,-0.75,0.0,latam-solidarity
p_human_rights_school,Human Rights School,afgj-projects,-583,-351,647,-0.78,0.0,afgj-interlock
rub_alpha_66,Alpha 66,rubio-cuba,259,-293,593,-0.8,0.0,afgj-interlock
rub_canadian_network_on_cuba,Canadian Network on Cuba,rubio-cuba,-187,479,597,-0.8,0.0,afgj-interlock
rub_claudia_jones_school,Claudia Jones School,rubio-cuba,444,874,589,-0.81,0.0,afgj-interlock
benjamin,Medea Benjamin,iran-network,618,309,691,-0.82,0.0,afgj-interlock
